

﻿نام,"قیمت فروش ویژه"
"ماد تارگت 80 ویپرسو Vaporesso Target 80",
"سیگار الکترونیکی ایلوما آی وان آیکاس IQOS ILUMA I ONE",
"هیت سینک اسپینری Spinner Heat Sink",
"پاد یک بار مصرف وی 50 ایگنایت IGNITE V50 5000 DISPOSABLE POD",920000
"اتومایزر وندی ویپ برسکر مینی ورژن 2 ام تی ال VANDY VAPE BERSEKER BSKR MINI V2 MTL RTA",
"کارتریج کالیبرن جی 3 یوول UWELL CALIBURN G3 CARTRIDGE",
"ویپ سنتاروس ام200 لاست ویپ LOST VAPE CENTAURUS M200",5339200
"ایجویس تنباکو کاستارد وانیل رایپ ویپ E-JUICE RIPE VAPES VCT",
"ایجویس تنباکو کاستارد وانیل رایپ ویپ E-JUICE RIPE VAPES VCT - 3 میلی گرم",736000
"ایجویس تنباکو کاستارد وانیل رایپ ویپ E-JUICE RIPE VAPES VCT - 6 میلی گرم",736000
"کارتریج کالیبرن جی 3 یوول UWELL CALIBURN G3 CARTRIDGE - 0.9 اهم",350000
"کارتریج کالیبرن جی 3 یوول UWELL CALIBURN G3 CARTRIDGE - 1.2 اهم",350000
"سیگار الکترونیکی ایلوما آی وان آیکاس IQOS ILUMA I ONE - گان متال",3980000
"سیگار الکترونیکی ایلوما آی وان آیکاس IQOS ILUMA I ONE - طلایی",3980000
"سیگار الکترونیکی ایلوما آی وان آیکاس IQOS ILUMA I ONE - قرمز",3980000
"سیگار الکترونیکی ایلوما آی وان آیکاس IQOS ILUMA I ONE - سبز",3980000
"سیگار الکترونیکی ایلوما آی وان آیکاس IQOS ILUMA I ONE - آبی",3980000
"سالت گیلاس سودا یخ طلایی توکیو (30 میل) Tokyo Golden Cherry Soda ICE",
"سالت گیلاس سودا یخ طلایی توکیو (30 میل) Tokyo Golden Cherry Soda ICE",1070000
"سالت گیلاس سودا یخ طلایی توکیو (30 میل) Tokyo Golden Cherry Soda ICE",1070000
"سالت گیلاس سودا یخ طلایی توکیو (30 میل) Tokyo Golden Cherry Soda ICE",1070000
"سالت اسپارکلینگ پانچ طلایی توکیو (30 میل) Tokyo Golden Sparkling Punch",
"سالت اسپارکلینگ پانچ طلایی توکیو (30 میل) Tokyo Golden Sparkling Punch",1070000
"سالت کیک موز یخ توکیو (30میل) TOKYO ICED BANANA CAKE",
"سالت کیک موز یخ توکیو (30میل) TOKYO ICED BANANA CAKE",1070000
"سالت بلوبری هندوانه یخ (30میل) TOKYO ICED BLUEBERRY WATERMELON",
"سالت بلوبری هندوانه یخ (30میل) TOKYO ICED BLUEBERRY WATERMELON",1070000
"سالت هلو یخ (30میل) TOKYO PEACH ICED",
"سالت هلو یخ (30میل) TOKYO PEACH ICED",1070000
"سالت سری قلیانی سیب میکس بری (30میل) SHISHA SERIES APPLE BERRIES",
"سالت سری قلیانی سیب میکس بری (30میل) SHISHA SERIES APPLE BERRIES",1070000
"سالت توکیو اسمارتیز سری طلایی (30میل) TOKYO GOLDEN RAINBOW CANDY",
