

Name,"Sale Price"
"ایجویس آدامس انگور یخ ویگاد | VGOD BUBBLE GRAPES ICE EJUICE | 60ML - نیکوتین 3",1100000
"ایجویس بمب انگور یخ ویگاد | VGOD PURPLE BOMB ICE EJUICE | 60ML - نیکوتین 3",897000
"ایجویس بمب سیب یخ ویگاد | VGOD APPLE BOMB ICE EJUICE | 60ML - نیکوتین 3",897000
"ایجویس هندوانه یخ ویگاد | VGOD LUSH ICE EJUICE | 60ML - نیکوتین 3",897000
"ایجویس کوبانو قهوه ای ویگاد | VGOD CUBANO BROWN EJUICE | 60ML - نیکوتین 3",897000
"سالت بلک نوت سیگار | BLACK NOTE CIGAR SALT NICOTINE | 30ML - نیکوتین 20",1480000
"سالت بلک نوت کوندیش(تنباکو پیپ) | BLACK NOTE CAVENDISH SALT NICOTINE | 30ML - نیکوتین 20",1380000
"پاد ماد اکسوا اکسلیم پرو 2 | PODMOD OXVA XLIM PRO 2 - سیلور کربنی",2480000
"سالت بلک نوت منتول اسپشیال بلند | BLACK NOTE MENTHOL SPECIAL BLEND SALT NICOTINE | 30ML - نیکوتین 20",1380000
"سالت بلک نوت اسپشیال بلند | BLACK NOTE SPECIAL BLEND SALT NICOTINE | 30ML - نیکوتین 20",1480000
"جویس آناناس کیوی یخ فایو پانز | FIVE PAWNS PINEAPPLE KIWI FRUITS ICE EJUICE | 120ML - نیکوتین 3",1480000
"جویس طالبی هندوانه یخ فایو پانز | FIVE PAWNS MELON MASH ICE EJUICE | 120ML - نیکوتین 3",1480000
"جویس انبه پشن فروت یخ فایو پانز | FIVE PAWNS MANGO PASSION FRUITS ICE EJUICE | 120ML - نیکوتین 3",1480000
"جویس موز توت فرنگی یخ فایو پانز | FIVE PAWNS NANA BERRY ICE EJUICE | 120ML - نیکوتین 3",1480000
"جویس میکس بری لیمو فایو پانز | FIVE PAWNS BERRY LIMEADE EJUICE | 120ML - نیکوتین 3",1480000
